id,volume.filtered.mL
stn9-dX-GF-B,2200
stn9-dX-GF-C,2190
stn10-dX-GF-B,15260
stn10-dX-GF-C,15980
stn10-dY-GF-B,19160
stn10-dY-GF-C,19400
stn10-dZ-GF-B,17660
stn10-dZ-GF-C,17020
stn11-dX-GF-B,11680
stn11-dX-GF-C,14000
stn11-dY-GF-B,17560
stn11-dY-GF-C,18020
stn11-dZ-GF-B,13760
stn11-dZ-GF-C,15180
stn12-dX-GF-B,16920
stn12-dX-GF-C,15660
stn12-dY-GF-B,16100
stn12-dY-GF-C,16140
stn12-dZ-GF-B,16320
stn12-dZ-GF-C,17280
stn13-dX-GF-B,13190
stn13-dX-GF-C,13520
stn13-dY-GF-B,18450
stn13-dY-GF-C,19050
stn13-dZ-GF-B,16680
stn13-dZ-GF-C,18200
stn14-dX-GF-B,14240
stn14-dX-GF-C,14520
stn14-dY-GF-B,19540
stn14-dY-GF-C,19740
stn14-dZ-GF-B,17960
stn14-dZ-GF-C,18570
stn15-dX-GF-B,14830
stn15-dX-GF-C,12960
stn15-dY-GF-B,17310
stn15-dY-GF-C,17210
stn15-dZ-GF-B,19370
stn15-dZ-GF-C,19960
stn16-dX-GF-B,16080
stn16-dX-GF-C,16900
stn16-dY-GF-B,16660
stn16-dY-GF-C,17180
stn16-dZ-GF-B,19120
stn16-dZ-GF-C,18380
stn12r-dX-GF-B,16660
stn12r-dX-GF-C,15090
stn12r-dY-GF-B,19140
stn12r-dY-GF-C,17870
stn12r-dZ-GF-B,17930
stn12r-dZ-GF-C,17800
